month,route_id,budget_revenue,budget_fuel_cost,budget_crew_cost,budget_port_cost,budget_maintenance_cost,budget_catering_cost,budget_distribution_cost,budget_other_variable_cost,budget_fixed_allocated,budget_variable_cost,budget_ebitda
2024-02-01,VAL-IBZ,1316536.3868092583,725632.2997817658,215849.98793308454,118850.69975778417,116934.67768248028,47073.95908920861,45362.85232428801,26641.4445848922,334260.8246156575,1296345.9211535037,-314070.35895990295
2024-03-01,DEN-IBZ,1478277.7311141887,673799.7867008585,246282.90489747497,162257.02697785702,138610.1674643473,56198.84995408803,52921.7284028259,30006.995430035622,281598.70359815826,1360077.4598274874,-163398.43231145694
2024-03-01,DEN-FOR,1445018.569455417,543653.4940802592,242070.61716598194,167625.27017238637,144671.0064723861,57022.06208697795,49087.30488053541,27194.855605076755,287513.1877857636,1231324.6104636039,-73819.22879395034
2024-03-01,DEN-PMI,1807130.0313915513,766420.9797318132,200156.04076534958,130148.19924270386,112555.26759325818,61773.16955281114,64006.80555367083,38044.041895769114,331047.87370800466,1373104.504335376,102977.65334817063
2024-03-01,BCN-PMI,1651119.6643765247,878407.7804958354,265476.94643827114,126074.17112409133,125806.3449726572,64897.66338334992,59236.14403604069,35605.488951532716,371916.0398354727,1555504.5394017785,-276300.91486072645
2024-03-01,BCN-IBZ,1598739.345858294,1143406.4523102727,298363.59198394854,130056.57767403517,129239.39257575401,53888.898698647106,55629.44357504909,33710.304176611215,378977.4450470102,1844294.6609943178,-624532.760183034
2024-03-01,VAL-PMI,1562804.9302723866,894599.4553507636,252747.1096987469,121531.36697248639,125291.15157951495,52910.15864691412,55977.717560774436,31795.87781212135,366105.87285621255,1534852.8376213217,-338153.7802051476
2024-03-01,VAL-IBZ,1838389.309037383,785267.9638952654,240419.48850974726,137411.28735332517,121820.16764231327,70886.12131436756,62856.68530142996,37113.49509910557,355013.31548432744,1455775.2091155543,27600.784437501163
2024-04-01,DEN-IBZ,1796738.1503421802,699306.1049765685,254515.39046319335,178280.87119770158,147588.57986719167,68509.14611949053,64133.870839533956,37105.54867954286,300067.569916503,1449439.5121432224,47231.0682824548
2024-04-01,DEN-FOR,1584577.4467891713,585366.9031004969,233184.8513067932,165119.93221895935,125376.2511619286,63844.21917687611,56496.478209294524,32935.164821016675,295045.27352982445,1262323.7999953653,27208.373263981543
2024-04-01,DEN-PMI,1555311.6418253034,677276.7823607615,186201.8554797273,119105.20931093207,108042.29368646689,48761.187284914595,53169.673882633644,31356.861908511924,326399.25436752924,1223913.863913948,4998.523543826246
2024-04-01,BCN-PMI,1747029.5918162023,891901.1919245763,244006.5953740859,128207.75644273161,101873.55013306235,62094.145030025444,58027.835460238435,33961.58720050697,361700.35777379293,1520072.661565227,-134743.42752281763
2024-04-01,BCN-IBZ,2126280.845108575,1158584.4321675247,303091.8295956898,142241.47051114615,141188.17985052176,72650.57824250376,75707.33225128567,46182.638850047486,388757.59592408786,1939646.4614687194,-202123.21228423208
2024-04-01,VAL-PMI,2219467.4842605577,1030172.2382666356,281143.33551021526,143216.10593216994,142062.46790895954,76960.05531745673,72884.38130727781,45445.2835209579,377630.2183261137,1791883.8677636732,49953.398170770786
2024-04-01,VAL-IBZ,1509879.8267456163,744576.7740480802,236631.87163877534,124786.91760525753,108820.70963075125,53027.31373975173,53820.13776209938,31670.91389757384,343450.2275187146,1353334.6383222893,-186905.03909538768
2024-05-01,DEN-IBZ,1623505.529416867,664951.6854800215,229388.760420792,162213.70610873553,123625.59984130517,68735.27999156143,57795.86375351143,33525.697513806015,283917.7314663892,1340236.593109733,-648.7951592550962
2024-05-01,DEN-FOR,1745060.077395787,635904.1020691413,238896.70059525387,178133.86760411804,164374.75673708093,73389.48080213091,63894.99316248168,37189.61519774429,287496.31808329135,1391783.5161679508,65780.24314454483
2024-05-01,DEN-PMI,1751784.114625957,717995.3683051883,185242.57784942805,131144.61964432447,123478.19207372094,60075.45151338779,61001.66866627659,34714.144472124055,315116.2607925911,1313652.0225244502,123015.8313089158
2024-05-01,BCN-PMI,2003133.7418029814,836464.6958994654,244851.4940057555,127191.30184657777,120572.2192401484,80740.00561953048,68100.80643970962,40078.4761652139,384645.6724264605,1517998.999216401,100489.07016011985
2024-05-01,BCN-IBZ,2288212.60177447,1184927.0138915835,307109.2801087635,132019.11612419042,129875.9647644152,71905.12710775677,78149.69033123988,46259.020069666876,395171.21136391925,1950245.2123976164,-57203.82198706566
2024-05-01,VAL-PMI,1841967.0791675497,956461.931128836,265691.4564740029,131193.65537428696,132664.49843104932,67172.87022831097,64162.90992237633,38755.78110358485,357597.0206902649,1656103.1026624474,-171733.04418516252
2024-05-01,VAL-IBZ,1762508.0138769986,821370.7889686556,232884.0541841106,131919.44655095562,106211.15397103353,67155.88331681809,60541.652291091086,34000.705756754,366582.4826495781,1454083.6850394185,-58158.153811998025
2024-06-01,DEN-IBZ,2282957.0684476416,873742.8738907924,334352.4199601506,217924.42568868407,201642.41683201908,94043.26489525566,81777.00856820955,47971.470829140664,290807.6358284008,1851453.880664252,140695.5519549888
2024-06-01,DEN-FOR,2363671.9211368784,772857.8491460279,303348.65576163965,211693.82416340578,158519.54028084563,106910.37732698918,84071.93025196508,47268.90804622037,290741.96060666133,1684671.0849770936,388258.8755531235
2024-06-01,DEN-PMI,2767711.350568541,962942.8165166547,255814.57672598364,178820.97803463793,175009.25303717438,106444.08421757004,95254.77526937344,56164.62383595324,318718.12129130994,1830451.1076373474,618542.1216398835
2024-06-01,BCN-PMI,2796712.3836697503,1286969.0748181012,362844.66193957184,177382.73010993324,153205.52895540456,106461.12632080073,96891.84311423957,58458.40548666468,352814.83748381864,2242213.370744716,201684.17544121575
2024-06-01,BCN-IBZ,3378605.4192391005,1276452.237396616,417022.13732313935,179177.61260208362,181719.87589024453,112051.02048571369,118963.45612963958,69959.16762499002,400851.7089942201,2355345.5074524265,622408.2027924539
2024-06-01,VAL-PMI,3114090.465625718,1426517.7514282926,409457.7533094325,180475.01642061517,218719.2530312919,121471.81951197908,114711.85538000095,68063.72397192082,372104.55824291776,2539417.173053533,202568.73432926717
2024-06-01,VAL-IBZ,2484855.6759194876,999424.6687481155,309436.8140243062,166510.50672856608,144710.12166006715,95252.3407435697,83024.53779080455,49464.66925251193,361321.16323162976,1847823.6589479414,275710.85373991646
2024-07-01,DEN-IBZ,3130992.5756017216,912987.0698101412,305706.9261155859,210852.46242555225,172091.25598231232,127674.1507414057,110801.31932505014,61641.65862145242,291500.71277545876,1901754.8430215002,937737.0198047627
2024-07-01,DEN-FOR,2995521.5469671586,818896.3912756672,318621.17641913274,208154.50154338175,197857.6750514575,127168.09983009339,100962.30934545922,60794.30105362781,285622.0649780724,1832454.4545188197,877445.0274702664
2024-07-01,DEN-PMI,3582636.6311282413,948809.6004012922,274243.7493093399,187405.4381744266,174748.68416374305,141327.61885739278,128244.90556053551,78163.56458553801,326455.48299490736,1932943.5610522684,1323237.5870810656
2024-07-01,BCN-PMI,4171995.9993445417,1192082.065361942,352706.2519024502,183428.00416286092,162064.26937034386,161566.59477741213,144230.17865687082,82705.05125344585,365942.6897480433,2278782.4154853257,1527270.8941111728
2024-07-01,BCN-IBZ,4098937.7372345133,1515931.9181623042,425023.8831861035,181817.92919355,191994.95099597887,147778.1512766051,143632.45706532573,88276.83819474666,366046.7897548336,2694456.128074614,1038434.8194050658
2024-07-01,VAL-PMI,3727408.0038943533,1308929.3694869871,357124.37544825475,167582.22102724804,168038.355499909,143085.59774590586,132869.60254346378,80065.51251226572,368207.8881653708,2357695.0342640346,1001505.0814649479
2024-07-01,VAL-IBZ,3190146.588004652,987467.6920438695,318685.6789158218,177691.64654693307,149363.67946102459,131245.19555030548,113669.86237461795,66740.31093737663,364772.899238065,1944864.065829949,880509.622936638
2024-08-01,DEN-IBZ,2983180.5141714956,809930.2282680486,304971.5815455611,194537.51164938262,173029.67315650452,126439.37107049482,109750.50689132938,63227.02920477567,279384.2526171977,1781885.9017860966,921910.3597682012
2024-08-01,DEN-FOR,3229946.015738541,776428.2133448767,297359.818501852,213928.52199654473,158427.80214631144,142023.09291137813,117333.59587917068,70577.59906572179,297298.5862935416,1776078.643845855,1156568.7855991442
2024-08-01,DEN-PMI,3992140.1251930003,955423.213900067,273858.0026144081,177339.71750072786,163300.11736661228,144870.92455517,135547.82438610125,76188.48117422633,330740.056067476,1926528.2814973127,1734871.7876282115
2024-08-01,BCN-PMI,3893431.1245363657,1302948.765148463,381610.90329327417,178515.06293743773,156893.9992560221,146434.3805281663,142951.95159457688,79370.75027869991,382217.08573902486,2388725.81303664,1122488.2257607006
2024-08-01,BCN-IBZ,4964852.372498375,1533818.5576862302,408484.71029931435,200640.73209476177,201168.83420496943,163118.3590714948,180034.92090990784,98285.21388100146,389686.8636815464,2785551.32814768,1789614.180669149
2024-08-01,VAL-PMI,4237997.625953508,1147191.973559858,362843.25709966273,175439.2175419116,186952.39715441773,166194.53120436936,146675.1260168881,87291.68908387891,377594.64934880496,2272588.1916609867,1587814.784943716
2024-08-01,VAL-IBZ,3622108.014599732,1000933.7119011856,318633.0596186997,179486.96688337225,175389.42497137375,138831.92011832978,123139.33404506293,69514.1585496055,346965.12967441994,2005928.5760876297,1269214.3088376825
2024-09-01,DEN-IBZ,2400849.9421448153,848510.8581628058,303777.1024384641,211496.2271500705,181738.21240455785,99730.0593291282,87789.10187701635,53082.798026608034,280702.58777793276,1786124.3593886506,334022.99497823196
2024-09-01,DEN-FOR,2295246.642382094,783819.1773366416,299861.04712465004,205890.77947607028,184775.16711860115,100059.2319553153,80708.95457340243,46490.522959447175,297145.09173654806,1701604.8805441281,296496.670101418
2024-09-01,DEN-PMI,3003730.31980028,940082.1684238311,277244.084993401,175061.82668591474,151938.695064006,109919.66935347361,109684.14369891681,62843.14673656229,341940.59426602244,1826773.7349561055,835015.9905781521
2024-09-01,BCN-PMI,3231868.2146914867,1152321.7730226123,356049.72940254986,180509.25123352546,180629.25147580914,116710.3276058644,114716.73371435114,64378.21623860909,390827.5305690353,2165315.2826933214,675725.40142913
2024-09-01,BCN-IBZ,3241002.8660587277,1630725.0209331363,398804.6387804102,178120.5708344336,183523.59583792748,105173.72379835355,108904.54616421176,63870.88075412732,387194.4105931964,2669122.9771026,184685.4783629313
2024-09-01,VAL-PMI,3197237.806676597,1511265.4417827013,393701.1872878947,182904.83371591335,201244.93697446169,117164.14731426428,104159.29316078802,64884.1669186364,369342.68684843136,2575324.0071546603,252571.1126735052
2024-09-01,VAL-IBZ,3015989.2404849324,1074834.9482322023,319402.4030730225,185323.5323604838,148825.31484065455,115992.30116836417,102970.60244059208,60119.27730498993,340734.07697709167,2007468.3794203098,667786.784087531
2024-10-01,DEN-IBZ,1666950.0631422035,719482.5112290719,234357.29072866018,158848.9979627941,142418.37495109835,60784.53363572167,57524.37625407436,34439.32236852971,280188.7818493687,1407855.4071299501,-21094.125837115338
2024-10-01,DEN-FOR,1688465.7588154671,625626.4182348369,238137.0739795774,163810.4373765023,142085.9759758869,67902.35482330975,60233.212310312956,34698.7694019525,292642.5459887373,1332494.2421023785,63328.9707243513
2024-10-01,DEN-PMI,1851180.2016182179,722008.5780500441,199239.1035312149,135448.9943819059,128626.91476016447,64337.45766814404,64257.90937959023,37360.20308870894,329582.6794506365,1351279.1608597727,170318.36130780866
2024-10-01,BCN-PMI,1893318.9779796132,1018396.2862024846,288990.02652870724,131775.75514634058,119926.18761491036,69441.87794194835,66418.09258673473,38147.709349651755,364199.25150885107,1733095.9353707777,-203976.20890001557
2024-10-01,BCN-IBZ,2124286.3392293323,967214.4223781085,301518.8653809133,132510.7940108951,134083.76149348723,74215.7153137959,76801.5617266301,43919.06113347573,380466.9101996797,1730264.181437306,13555.247592346452
2024-10-01,VAL-PMI,1997900.607173194,866566.3896348025,253197.037150052,125760.40911181014,137324.56959431255,71313.42477656597,74098.68314501623,40142.801844855996,374673.7798544741,1568403.3152574152,54823.512061304646
2024-10-01,VAL-IBZ,1548922.8706017048,690870.2983090526,224720.3710946746,114148.98112420966,110412.31218140187,60943.09838126893,54966.6842275971,33023.74024413681,340329.24933051446,1289085.4855623418,-80491.8642911514
2024-11-01,DEN-IBZ,1511657.6018804796,681898.9663228699,238402.63825345357,166672.75976358695,137590.59807289895,55289.54635950821,53357.68922885173,29706.558178825246,287251.5575326445,1362918.756179995,-138512.71183215978
2024-11-01,DEN-FOR,1382989.8521173114,569477.7901448344,231487.1861868071,166180.43391417575,145125.31594487495,53606.00382914226,48492.60201159054,26834.26591912702,290523.73797990696,1241203.5979505521,-148737.48381314764
2024-11-01,DEN-PMI,1407078.151765537,663456.5404332838,174090.70613900592,123841.14787370902,115417.49561994581,46179.4655969825,47006.93175437459,27749.559263532414,342271.5387232635,1197741.8466808342,-132935.2336385607
2024-11-01,BCN-PMI,1922889.9138217913,836406.2471307261,261044.20423298454,129926.51870936058,111531.8477140102,65758.11796572663,64426.9927520319,36577.940938882995,374891.0732479194,1505671.869443723,42326.971130148915
2024-11-01,BCN-IBZ,1691804.1631562023,1099134.2715167338,306330.2967875378,138270.62226088886,153206.71802303515,55175.47009528179,64687.08245109916,36328.97548142613,378954.30137771077,1853133.4366160026,-540283.574837511
2024-11-01,VAL-PMI,1809823.8746909674,1033209.7910899604,273495.0357796781,133907.008282706,131997.83519261694,61126.07610306071,61491.91807472207,34654.46440268174,376032.94259561755,1729882.128925426,-296091.1968300761
2024-11-01,VAL-IBZ,1324890.1212979183,670559.6537658226,224038.00018254228,118247.26748775896,113146.08428883411,53057.66996520234,48946.88074454166,28606.018519647525,367255.42391090427,1256601.5749543493,-298966.8775673353
2024-12-01,DEN-IBZ,1434163.4591409324,697056.1503876294,248653.01935111816,171489.37816821574,136182.07844468745,55440.190974166755,54188.00208106123,30495.94637006126,285860.74737580057,1393504.76577694,-245202.05401180807
2024-12-01,DEN-FOR,1479035.5358008544,556765.9950468076,240902.55338371237,161877.5331894554,130824.79869906521,61758.042394321456,50389.67311162707,28964.7810324608,288970.28013419925,1231483.3768574498,-41418.12119079457
2024-12-01,DEN-PMI,1446567.3019436807,640834.5227737731,188588.8220570851,127787.0212693696,104796.38111808094,49677.41232905474,52319.54440027384,29242.658723082397,336754.38927741855,1193246.3626707196,-83433.45000445744
2024-12-01,BCN-PMI,1794998.505064553,984413.027102832,280095.1593273505,138686.27391407514,135011.02622862466,68758.54059103785,61347.07472893462,35856.637952839534,362941.5852388316,1704167.7398456943,-272110.82001997274
2024-12-01,BCN-IBZ,2073124.6748664621,1039670.3578404756,292210.2148049828,134033.43037613793,150422.87917697398,66732.98532096375,71414.82300650665,45840.166425714044,375909.4910678536,1800324.8569517545,-103109.673153146
2024-12-01,VAL-PMI,1843406.8036549152,936703.5325618786,261060.39132536532,124615.54797868824,139679.201634041,68233.88222722801,65762.77393522917,39965.72767349392,395248.1026938051,1636021.0573359246,-187862.35637481452
2024-12-01,VAL-IBZ,1439511.5419899826,681942.5258718561,218018.86438601618,120828.05953649641,111116.66076218031,55345.40496773991,50482.88455123182,29732.0639314856,356985.72330491315,1267466.4640070063,-184940.6453219368
2025-01-01,DEN-IBZ,1495086.4568353847,751598.5084842866,252961.62451784438,180234.43017059818,161121.0515303023,49150.710099954886,49126.83198646399,28970.704980305054,280695.0764541638,1473163.8617697556,-258772.4813885347
2025-01-01,DEN-FOR,1580791.9755033657,646189.4065942547,258120.79635295118,181420.73136014675,134157.4141087214,65110.348007544606,53839.053498773435,32385.63988280981,291502.57818525453,1371223.3898052017,-81933.99248709047
2025-01-01,DEN-PMI,1528161.4750094684,752749.6393175023,200276.30698906854,134203.3537215695,133131.6148494588,49870.67776909661,51517.123898158265,29876.431295551116,327124.5593244735,1351625.147840405,-150588.23215541022
2025-01-01,BCN-PMI,1611509.4589864854,942401.3378524708,278801.9825889214,133423.31049217557,106893.93595453765,56186.52724705206,54398.29031219723,30812.91575308738,355647.16476939543,1602918.3002004426,-347056.0059833526
2025-01-01,BCN-IBZ,1853114.8661010098,1154731.6090750596,321231.8586170137,148083.92546985368,142674.34961040164,57321.809625444046,63378.31752977833,36134.02854890679,387096.11611536716,1923555.8984764577,-457537.1484908151
2025-01-01,VAL-PMI,1829588.0648488882,1128994.012581484,298048.1755489449,140948.00201197492,140660.84540320793,63217.17532386106,63720.79849290911,39388.59054358163,376112.1737877986,1874977.5999059635,-421501.70884487394
2025-01-01,VAL-IBZ,1347166.8732526896,768085.550394859,247549.17232801276,132589.02989073074,121191.04733601959,49556.166053416026,47605.49588919637,27236.447548647062,348686.5935950267,1393812.9094408816,-395332.62978321867
2025-02-01,DEN-IBZ,1649025.6616241375,765962.0995081257,253829.89692880146,171703.98069637181,143179.83434006927,66609.80313843756,58590.09420107826,32639.19310004135,295574.62947984546,1492514.9019129253,-139063.86976863322
2025-02-01,DEN-FOR,1419506.4155060507,650680.9412201118,267758.6394362843,168265.11383055054,148997.2930159117,55833.504222271506,51827.91196306089,30037.83792800205,276851.50673833385,1373401.2416161927,-230746.3328484759
2025-02-01,DEN-PMI,1597482.0083006017,780477.1308665388,219658.56146526578,135848.5269486583,128094.72342140668,57194.046747878325,52937.47448395167,32520.595377705195,334306.6724714309,1406731.059311405,-143555.72348223423
2025-02-01,BCN-PMI,1636836.3190090866,871295.592106227,286130.6181415314,138138.66940894892,123783.46779529448,59519.19351524627,58912.87798258114,35418.341769118975,362726.2605959859,1573198.760718948,-299088.7023058473
2025-02-01,BCN-IBZ,1673714.8484303467,1226020.5002879351,316776.80788372783,133195.15410334847,120010.41020858023,48706.35388546856,58723.21374336118,31337.853018245303,375155.8427321323,1934770.2931306667,-636211.2874324523
2025-02-01,VAL-PMI,1640123.0326222624,1143188.5179311826,295794.46997839416,137613.81392139476,133615.79778630717,50883.779545431884,54738.56113873197,32859.10367648148,346207.56266669865,1848694.043977924,-554778.5740223601
2025-02-01,VAL-IBZ,1577593.417515714,800959.7971867456,256218.6695611445,137908.00863125746,108573.24182393681,59677.11806536664,56729.740005363594,32180.23578937383,360214.7088629564,1452246.8110631884,-234868.1024104308
2025-03-01,DEN-IBZ,1742886.7358905205,739196.6424023514,272545.8704286619,185177.18453306652,156094.40290632803,65238.093346787246,56122.98226915488,36404.01075236116,286049.00894011813,1510779.186638711,-53941.45968830865
2025-03-01,DEN-FOR,1571036.5197554145,663008.900830321,243243.85784142173,170613.87483627562,122567.93391719848,63675.148853764425,55246.358099724996,29708.99077389876,291876.99869519274,1348065.0651526053,-68905.54409238358
2025-03-01,DEN-PMI,1700886.7055146447,713692.9126013974,214221.23870464537,126732.03496463914,125607.95138591809,58874.9490036654,58926.71250613023,33457.62841070502,320285.22021505825,1331513.427577101,49088.057722485566
2025-03-01,BCN-PMI,1732008.1962526662,1046733.6472051293,289890.920441429,130964.35277627787,126624.91222464274,64004.66070694928,65077.82356816218,35575.40601795675,383242.3579457241,1758871.7229405472,-410105.8846336051
2025-03-01,BCN-IBZ,2151654.489068642,1183633.7956102814,320568.1375260931,148419.78723984584,147767.40544214702,66298.73734717719,73688.71599157582,41006.93127006737,386637.9655830772,1981383.5104271877,-216366.9869416231
2025-03-01,VAL-PMI,2050583.344258905,1019962.5178331528,286671.5341550237,138873.26470888848,130458.6678614338,79965.65048926786,70811.97340092722,42653.2304912843,370625.39131839783,1769396.838939978,-89438.88599947095
2025-03-01,VAL-IBZ,1626819.2249422935,766235.4025151598,238085.37342154246,128529.3304270889,126399.41550043688,59649.6836087632,55847.11957222014,30716.22485534486,346901.06502573006,1405462.5499005564,-125544.38998399302
2025-04-01,DEN-IBZ,1768154.3745276574,741364.5378377059,241009.95090607062,171194.69320967642,124660.5539944514,66369.37392434651,61324.639656227555,34469.20667711004,296327.70307917177,1440392.9562055883,31433.715242897335
2025-04-01,DEN-FOR,1609849.2640642691,613116.4383620627,263409.0897705907,173403.48119503676,129494.85166257039,67530.6633046024,54752.438595378946,30933.09838154088,287558.35646317404,1332640.061271783,-10349.153670687869
2025-04-01,DEN-PMI,1997137.392711374,742554.6999423829,207263.86625317475,134531.35899258935,124620.55928134243,68261.4700541987,70020.04095424376,43021.117821551714,339658.45531455515,1390273.1132994837,267205.82409733516
2025-04-01,BCN-PMI,1941732.0236656494,890339.2504604176,252863.46980384472,127978.38149951416,120569.26412889658,74209.9263349819,66189.03328716899,39400.08428377343,380307.308309724,1571549.4097985972,-10124.69444267184
2025-04-01,BCN-IBZ,2005397.6808696657,1211150.6623990517,310162.7251554986,139271.76370682855,128177.25046042388,68481.3524426815,69045.52903493741,40210.27258378237,381063.9437087407,1966499.555783204,-342165.81862227904
2025-04-01,VAL-PMI,1895706.9061996841,1020523.0553458872,283026.5593103733,127805.27179264506,125369.19030815644,61901.038478910385,66614.84445811056,38187.0821049406,381292.4758740326,1723427.0417990237,-209012.6114733722
2025-04-01,VAL-IBZ,1783646.5268964237,765937.8899788478,249597.24132163866,126959.75703436662,113443.85881921278,69021.26275445805,61731.87247340568,36112.69462183335,349831.1351408971,1422804.5770037628,11010.814751763712
2025-05-01,DEN-IBZ,1758574.068160009,699718.8205554452,265973.05199087225,176038.5015240762,153025.99557385923,68051.74368658735,61257.09292545601,34092.77968067816,305149.932561186,1458157.9859369744,-4733.850338151329
2025-05-01,DEN-FOR,2053917.1806755948,627905.163746556,269281.9915385252,182976.9128002457,149230.10150798544,88883.74034742053,71359.91796567317,40155.28235500645,301743.9585098161,1429793.1102614126,322380.1119043662
2025-05-01,DEN-PMI,1963079.416144325,699160.5270857684,196570.63117359078,126067.79332275131,118871.76000448881,72732.3542432651,69778.64565847136,41110.52669152769,328928.78381016693,1324292.2381798634,309858.39415429457
2025-05-01,BCN-PMI,1785388.3882783926,996898.5299413037,258168.16257911388,125034.72812329182,101696.19298805736,66416.55624341902,62074.83459019846,34810.546675968115,364291.4949622523,1645099.5511413524,-224002.6578252121
2025-05-01,BCN-IBZ,2500565.7408861443,1174041.131386556,312883.19767114194,136833.72695492874,143927.4725616254,81892.60552511933,90505.20811126502,49594.25976981947,395697.7671214576,1989677.6019804557,115190.37178423104
2025-05-01,VAL-PMI,2145254.2149166856,1061703.4992293671,301933.23824721144,150776.7620331272,137680.2875732387,82422.40897051884,77078.08967294029,44094.86749016167,365600.10388020554,1855689.153216565,-76035.04218008497
2025-05-01,VAL-IBZ,1708917.2877347514,729527.7869683176,245192.78801294445,128022.46136277175,111884.13240837652,71185.83299374081,59565.67184363183,33951.650092196534,345801.3356904799,1379330.3236819794,-16214.371637707984
2025-06-01,DEN-IBZ,2490624.550028427,908991.5280120971,311425.5491856769,213965.41863709452,148870.1706190355,96029.2378711722,87929.25235035144,49422.3467768977,290760.8529343284,1816633.5034523255,383230.1936417732
2025-06-01,DEN-FOR,2443035.0130521962,857841.3189033903,310341.0867094665,223351.05875158546,178820.50060098266,105582.13817107429,87656.46637736833,51273.63524578235,297714.2475011365,1814866.20475965,330454.5607914098
2025-06-01,DEN-PMI,3306393.4740106743,1038230.5757849604,290318.24118607683,190876.38089486287,165454.41885825546,111985.23080734922,111338.24743299313,69529.58006334856,341264.3373585179,1977732.6750278466,987396.4616243098
2025-06-01,BCN-PMI,3518321.749621891,1336257.7554909785,398117.2186374723,196897.2741108402,193716.53505987505,140285.42984206887,118179.03754598473,72700.30648570017,374601.0654585478,2456153.557172919,687567.126990424
2025-06-01,BCN-IBZ,3046944.234180042,1540080.7101708094,425955.3218672948,185304.79049487764,208000.06245774397,106259.88350194247,116916.72695041892,66115.29267257912,383906.2285259381,2648632.7881156667,14405.217538437224
2025-06-01,VAL-PMI,3017219.6724068923,1360885.4463976452,368893.984972413,174186.9547254006,172214.67892992694,103940.55104620346,105547.27303810089,62054.99753546512,373952.69202002714,2347723.886645155,295543.0937417101
2025-06-01,VAL-IBZ,3038852.7131846417,1171876.4385773283,357412.8053719934,193681.52309078156,159414.35908999984,117019.88066957843,110144.75188952168,62574.151441020666,362529.22582303005,2172123.910130224,504199.57723138743
2025-07-01,DEN-IBZ,2980162.737256872,973928.2633451887,320888.0037240495,202337.11938335028,199392.9965249712,131216.43281782037,103405.87985609003,61942.26149067209,293250.9369762696,1993110.9571421423,693800.8431384601
2025-07-01,DEN-FOR,3210545.426077748,777651.690715632,308928.21858279564,211111.0266043514,149114.7667636591,142836.48206828887,117323.72662224734,68886.61594059938,292948.47497897083,1775852.5272975739,1141744.4238012035
2025-07-01,DEN-PMI,3556021.9234927963,951505.246826416,278866.84484802024,178469.47359840322,159358.50792417472,134578.86109304425,124017.48713564951,72773.46307433202,331517.49883447966,1899569.88450004,1324934.5401582767
2025-07-01,BCN-PMI,3638217.294780425,1230417.5786412617,350562.54897504544,168847.36742411085,147417.85439833975,141853.0023507661,124752.2851441235,73492.936609785,367491.85084613075,2237343.5735434326,1033381.8703908614
